,index,speed,time,start_latitude
0,48732,18,2023-09-05T21:40:20.000,41.9527793008
1,48731,18,2023-09-05T21:40:20.000,41.9526056908
2,48316,27,2023-09-05T21:50:23.000,41.9538366862
3,48185,23,2023-09-05T21:50:30.000,41.9542409021
4,48193,25,2023-09-05T21:50:30.000,41.9540197354
5,48188,23,2023-09-05T21:50:30.000,41.9538755379
6,48186,22,2023-09-05T21:50:30.000,41.9541531514
7,48144,17,2023-09-05T21:50:34.000,41.9529189391
8,48142,23,2023-09-05T21:50:34.000,41.9531625184
9,48141,27,2023-09-05T21:50:34.000,41.9524069352
10,48146,25,2023-09-05T21:50:34.000,41.9530473793
11,47745,21,2023-09-05T22:01:23.000,41.9536492536
12,47586,23,2023-09-05T22:01:45.000,41.9541531514
13,47582,18,2023-09-05T22:01:45.000,41.9543511743
14,47578,19,2023-09-05T22:01:46.000,41.9544240318
15,47538,27,2023-09-05T22:01:53.000,41.9533921986
16,47537,25,2023-09-05T22:01:53.000,41.9532811726
17,47536,24,2023-09-05T22:01:53.000,41.9535105845
18,47535,23,2023-09-05T22:01:53.000,41.9526056908
19,47534,27,2023-09-05T22:01:53.000,41.9526256799
20,47532,25,2023-09-05T22:01:53.000,41.9527793008
21,47139,26,2023-09-05T22:10:28.000,41.9536492536
22,47143,25,2023-09-05T22:10:28.000,41.9537825128
23,47146,25,2023-09-05T22:10:28.000,41.9538366862
24,47019,24,2023-09-05T22:10:47.000,41.9538755379
25,47017,25,2023-09-05T22:10:47.000,41.9540197354
26,46975,27,2023-09-05T22:10:52.000,41.9524069352
27,46973,25,2023-09-05T22:10:52.000,41.9527793008
28,46969,28,2023-09-05T22:10:53.000,41.9529189391
29,46968,27,2023-09-05T22:10:53.000,41.9530473793
30,46962,24,2023-09-05T22:10:53.000,41.9531625184
31,46961,27,2023-09-05T22:10:53.000,41.9532811726
32,46959,23,2023-09-05T22:10:53.000,41.9533921986
33,46574,24,2023-09-05T22:20:48.000,41.9536492536
34,46570,20,2023-09-05T22:20:48.000,41.9537825128
35,46417,20,2023-09-05T22:21:01.000,41.9541531514
36,46412,12,2023-09-05T22:21:02.000,41.9542409021
37,46410,15,2023-09-05T22:21:02.000,41.9543511743
38,46376,21,2023-09-05T22:21:06.000,41.9533921986
39,46375,23,2023-09-05T22:21:06.000,41.9527793008
40,46374,23,2023-09-05T22:21:06.000,41.9526056908
41,46372,22,2023-09-05T22:21:06.000,41.9529189391
42,46371,25,2023-09-05T22:21:06.000,41.9526256799
43,46370,23,2023-09-05T22:21:06.000,41.9535105845
44,46369,27,2023-09-05T22:21:06.000,41.9524069352
45,45967,25,2023-09-05T22:30:54.000,41.9537825128
46,45963,23,2023-09-05T22:30:54.000,41.9538366862
47,45837,26,2023-09-05T22:31:00.000,41.9541531514
48,45836,23,2023-09-05T22:31:00.000,41.9538755379
49,45831,21,2023-09-05T22:31:00.000,41.9540197354
50,45825,11,2023-09-05T22:31:01.000,41.9543511743
51,45823,14,2023-09-05T22:31:01.000,41.9544240318
52,45777,23,2023-09-05T22:31:03.000,41.9532811726
53,45784,23,2023-09-05T22:31:03.000,41.9531625184
54,45782,21,2023-09-05T22:31:03.000,41.9530473793
55,45779,22,2023-09-05T22:31:03.000,41.9533921986
56,45428,23,2023-09-05T22:40:06.000,41.9538366862
57,45415,22,2023-09-05T22:40:06.000,41.9536492536
58,45407,20,2023-09-05T22:40:06.000,41.9537825128
59,45270,25,2023-09-05T22:40:13.000,41.9542409021
60,45269,17,2023-09-05T22:40:13.000,41.9541531514
61,45268,12,2023-09-05T22:40:13.000,41.9543511743
62,45265,25,2023-09-05T22:40:13.000,41.9540197354
63,45263,18,2023-09-05T22:40:13.000,41.9544240318
64,45211,20,2023-09-05T22:40:16.000,41.9527793008
65,45215,27,2023-09-05T22:40:16.000,41.9524069352
66,45210,20,2023-09-05T22:40:16.000,41.9533921986
67,45213,27,2023-09-05T22:40:16.000,41.9529189391
68,45222,29,2023-09-05T22:40:16.000,41.9526056908
69,45219,30,2023-09-05T22:40:16.000,41.9526256799
70,45220,22,2023-09-05T22:40:16.000,41.9535105845
71,44718,20,2023-09-05T22:50:28.000,41.9540197354
72,44714,23,2023-09-05T22:50:28.000,41.9541531514
73,44705,18,2023-09-05T22:50:28.000,41.9538755379
74,44682,26,2023-09-05T22:50:30.000,41.9533921986
75,44676,22,2023-09-05T22:50:30.000,41.9530473793
76,44675,26,2023-09-05T22:50:30.000,41.9531625184
