,index,speed
0,48307,31
1,48274,25
2,48275,18
3,48277,25
4,48278,27
5,48279,23
6,48280,28
7,48281,11
8,48284,25
9,48285,19
10,48288,27
11,48289,25
12,48305,31
13,48291,25
14,48290,30
15,48302,30
16,48301,23
17,48299,27
18,48298,28
19,48304,28
20,48296,27
21,48294,30
22,48293,28
23,48292,27
24,48297,16
25,48270,26
26,48264,19
27,48263,13
28,47703,23
29,47698,23
30,47699,25
31,47700,27
32,47701,25
33,47702,23
34,47704,25
35,47710,29
36,47706,27
37,47708,24
38,47709,30
39,47711,27
40,47712,25
41,47713,21
42,47714,26
43,47705,28
44,47689,20
45,47685,23
46,47686,28
47,47687,24
48,47688,25
49,47690,24
50,47697,33
51,47692,31
52,47693,23
53,47694,32
54,47695,30
55,47696,19
56,47691,23
57,47126,35
58,47119,27
59,47113,25
60,47115,29
61,47114,31
62,47117,23
63,47118,27
64,47116,27
65,47100,26
66,47093,15
67,47094,23
68,47095,23
69,47096,24
70,47097,26
71,47098,26
72,47099,14
73,47101,26
74,47107,18
75,47103,25
76,47104,25
77,47105,25
78,47106,26
79,47112,23
80,47108,21
81,47109,35
82,47110,27
83,47111,26
84,47102,24
85,46534,30
86,46535,31
87,46536,25
88,46537,29
89,46538,18
90,46540,19
91,46543,30
92,46545,26
93,46546,31
94,46510,24
95,46511,22
96,46512,25
97,46513,23
98,46514,23
99,46515,24
100,46516,20
101,46517,32
102,46518,27
103,46523,27
104,46521,23
105,46522,28
106,46524,23
107,46525,27
108,46526,25
109,46527,22
110,46528,25
111,46529,23
112,46530,20
113,46520,27
114,45941,40
115,45940,21
116,45937,27
117,45935,27
118,45933,25
119,45926,20
120,45930,21
121,45928,28
122,45927,28
123,45942,25
124,45931,25
125,45943,44
126,45934,21
127,45946,21
128,45945,24
129,45958,22
130,45957,27
131,45956,24
132,45955,28
133,45954,35
134,45959,31
135,45952,26
136,45951,22
137,45950,29
138,45949,25
139,45948,25
140,45961,30
141,45364,11
142,45363,5
143,45361,30
144,45360,24
145,45357,27
146,45358,22
147,45356,21
148,45355,26
149,45365,24
150,45359,26
151,45366,22
152,45368,23
153,45381,23
154,45370,21
155,45371,32
156,45372,29
157,45374,27
158,45375,23
159,45376,24
160,45377,22
161,45378,29
162,45380,29
163,45367,24
164,44808,26
165,44807,21
166,44804,27
167,44803,29
168,44809,21
169,44801,25
170,44800,25
171,44799,20
172,44798,25
173,44802,27
174,44811,27
175,44829,28
176,44815,18
177,44830,18
178,44814,31
179,44823,23
180,44822,35
181,44828,18
182,44820,23
183,44819,23
184,44818,24
185,44817,29
186,44821,25
187,44263,26
188,44267,29
189,44266,38
190,44265,14
191,44264,25
192,44261,26
193,44255,31
194,44259,27
195,44258,23
196,44256,31
197,44254,18
198,44253,20
199,44268,23
200,44260,24
201,44269,36
202,44283,29
203,44271,30
204,44270,24
205,44287,25
206,44286,29
207,44285,23
208,44284,29
209,44280,28
210,44279,31
211,44277,27
212,44276,35
213,44275,25
214,44274,26
215,44273,18
216,44272,25
217,44278,23
218,43711,27
219,43709,29
220,43712,26
221,43722,29
222,43719,27
223,43721,25
224,43723,27
225,43715,25
226,43695,20
227,43686,18
228,43688,33
229,43689,34
230,43690,23
231,43692,30
232,43693,27
233,43694,26
234,43696,29
235,43705,31
236,43699,27
237,43698,33
238,43707,28
239,43706,37
240,43704,27
241,43708,24
242,43702,38
243,43701,29
244,43700,36
245,43703,29
246,43229,29
247,43220,31
248,43221,31
249,43223,31
250,43224,27
251,43225,29
252,43227,28
253,43231,33
254,43241,25
255,43235,30
256,43246,29
257,43245,25
258,43242,29
259,43234,31
260,43237,30
261,43236,25
262,43247,22
263,42913,27
264,42916,28
265,42917,30
266,42918,27
267,42920,27
268,42919,32
269,42926,10
270,42928,27
271,42930,29
272,42931,29
273,42932,25
274,42934,27
275,42922,30
276,42692,29
277,42661,28
278,42658,29
279,42659,22
280,42660,29
281,42662,23
282,42666,27
283,42668,29
284,42675,25
285,42678,24
286,42680,25
287,42681,23
288,42683,27
289,42667,33
290,42411,28
291,42390,24
292,42391,23
293,42398,27
294,42399,23
