,index,speed,time
0,48307,31,2023-09-05T21:50:24.000
1,48274,25,2023-09-05T21:50:24.000
2,48275,18,2023-09-05T21:50:24.000
3,48277,25,2023-09-05T21:50:24.000
4,48278,27,2023-09-05T21:50:24.000
5,48279,23,2023-09-05T21:50:24.000
6,48280,28,2023-09-05T21:50:24.000
7,48281,11,2023-09-05T21:50:24.000
8,48284,25,2023-09-05T21:50:24.000
9,48285,19,2023-09-05T21:50:24.000
10,48288,27,2023-09-05T21:50:24.000
11,48289,25,2023-09-05T21:50:24.000
12,48305,31,2023-09-05T21:50:24.000
13,48291,25,2023-09-05T21:50:24.000
14,48290,30,2023-09-05T21:50:24.000
15,48302,30,2023-09-05T21:50:24.000
16,48301,23,2023-09-05T21:50:24.000
17,48299,27,2023-09-05T21:50:24.000
18,48298,28,2023-09-05T21:50:24.000
19,48304,28,2023-09-05T21:50:24.000
20,48296,27,2023-09-05T21:50:24.000
21,48294,30,2023-09-05T21:50:24.000
22,48293,28,2023-09-05T21:50:24.000
23,48292,27,2023-09-05T21:50:24.000
24,48297,16,2023-09-05T21:50:24.000
25,48270,26,2023-09-05T21:50:25.000
26,48264,19,2023-09-05T21:50:25.000
27,48263,13,2023-09-05T21:50:25.000
28,47703,23,2023-09-05T22:01:28.000
29,47698,23,2023-09-05T22:01:28.000
30,47699,25,2023-09-05T22:01:28.000
31,47700,27,2023-09-05T22:01:28.000
32,47701,25,2023-09-05T22:01:28.000
33,47702,23,2023-09-05T22:01:28.000
34,47704,25,2023-09-05T22:01:28.000
35,47710,29,2023-09-05T22:01:28.000
36,47706,27,2023-09-05T22:01:28.000
37,47708,24,2023-09-05T22:01:28.000
38,47709,30,2023-09-05T22:01:28.000
39,47711,27,2023-09-05T22:01:28.000
40,47712,25,2023-09-05T22:01:28.000
41,47713,21,2023-09-05T22:01:28.000
42,47714,26,2023-09-05T22:01:28.000
43,47705,28,2023-09-05T22:01:28.000
44,47689,20,2023-09-05T22:01:29.000
45,47685,23,2023-09-05T22:01:29.000
46,47686,28,2023-09-05T22:01:29.000
47,47687,24,2023-09-05T22:01:29.000
48,47688,25,2023-09-05T22:01:29.000
49,47690,24,2023-09-05T22:01:29.000
