,index,speed,time,start_latitude
0,48307,31,2023-09-05T21:50:24.000,41.793875546
1,48274,25,2023-09-05T21:50:24.000,41.8229949942
2,48275,18,2023-09-05T21:50:24.000,41.9248996489
3,48277,25,2023-09-05T21:50:24.000,41.8259368847
4,48278,27,2023-09-05T21:50:24.000,41.8666115084
5,48279,23,2023-09-05T21:50:24.000,41.8957422115
6,48280,28,2023-09-05T21:50:24.000,41.857496
7,48281,11,2023-09-05T21:50:24.000,41.7501017847
8,48284,25,2023-09-05T21:50:24.000,41.8011451454
9,48285,19,2023-09-05T21:50:24.000,41.764701176
10,48288,27,2023-09-05T21:50:24.000,41.7792149771
11,48289,25,2023-09-05T21:50:24.000,41.786527685
12,48305,31,2023-09-05T21:50:24.000,41.9321780939
13,48291,25,2023-09-05T21:50:24.000,41.8520308712
14,48290,30,2023-09-05T21:50:24.000,41.8390729803
15,48302,30,2023-09-05T21:50:24.000,41.8156948926
16,48301,23,2023-09-05T21:50:24.000,41.8906470248
17,48299,27,2023-09-05T21:50:24.000,41.8829951691
18,48298,28,2023-09-05T21:50:24.000,41.7282286362
19,48304,28,2023-09-05T21:50:24.000,41.8760825857
20,48296,27,2023-09-05T21:50:24.000,41.7209382823
21,48294,30,2023-09-05T21:50:24.000,41.9168043897
22,48293,28,2023-09-05T21:50:24.000,41.9103198343
23,48292,27,2023-09-05T21:50:24.000,41.7719765782
24,48297,16,2023-09-05T21:50:24.000,41.9279807743
25,48270,26,2023-09-05T21:50:25.000,41.9686138926
26,48264,19,2023-09-05T21:50:25.000,41.9613118159
27,48263,13,2023-09-05T21:50:25.000,41.97589051
28,47703,23,2023-09-05T22:01:28.000,41.7792149771
29,47698,23,2023-09-05T22:01:28.000,41.7719765782
30,47699,25,2023-09-05T22:01:28.000,41.8957422115
31,47700,27,2023-09-05T22:01:28.000,41.8259368847
32,47701,25,2023-09-05T22:01:28.000,41.8390729803
33,47702,23,2023-09-05T22:01:28.000,41.8829951691
34,47704,25,2023-09-05T22:01:28.000,41.8666115084
35,47710,29,2023-09-05T22:01:28.000,41.8084247143
36,47706,27,2023-09-05T22:01:28.000,41.7501017847
37,47708,24,2023-09-05T22:01:28.000,41.857496
38,47709,30,2023-09-05T22:01:28.000,41.8011451454
39,47711,27,2023-09-05T22:01:28.000,41.7592310843
40,47712,25,2023-09-05T22:01:28.000,41.764701176
41,47713,21,2023-09-05T22:01:28.000,41.8760825857
42,47714,26,2023-09-05T22:01:28.000,41.8229949942
43,47705,28,2023-09-05T22:01:28.000,41.8156948926
44,47689,20,2023-09-05T22:01:29.000,41.9279807743
45,47685,23,2023-09-05T22:01:29.000,41.9248996489
46,47686,28,2023-09-05T22:01:29.000,41.9686138926
47,47687,24,2023-09-05T22:01:29.000,41.9831666552
48,47688,25,2023-09-05T22:01:29.000,41.9613118159
49,47690,24,2023-09-05T22:01:29.000,41.9030150932
50,47697,33,2023-09-05T22:01:29.000,41.9540117081
51,47692,31,2023-09-05T22:01:29.000,41.97589051
52,47693,23,2023-09-05T22:01:29.000,41.9394597831
53,47694,32,2023-09-05T22:01:29.000,41.9168043897
54,47695,30,2023-09-05T22:01:29.000,41.9321780939
55,47696,19,2023-09-05T22:01:29.000,41.9467297764
56,47691,23,2023-09-05T22:01:29.000,41.9103198343
